ORIGIN_AIRPORT,source_airport_avg_delay,destination_airport_avg_delay,airport_avg_taxi_out_time,airport_avg_taxi_in_time,total_airline_delay,total_security_delay,total_air_system_delay,total_late_aircraft_delay,total_weather_delay
DLG,-7.87012987012987,-4.194805194805195,10.766233766233766,4.077922077922078,81.0,35.0,19.0,174.0,0.0
DLH,9.54661694192861,3.937033084311633,20.547491995731058,10.445391582312201,5818.0,1.0,7651.0,10642.0,689.0
DRO,5.989061075660893,1.1429872495446265,18.345628415300546,9.3436645396536,8155.0,0.0,5964.0,8536.0,3645.0
DSM,6.250199203187251,6.681998864281658,18.152186257808065,11.134547524188958,32326.0,0.0,30298.0,50939.0,6230.0
DTW,3.20661972193394,3.377908674073947,16.517293194346653,6.783456699059104,500695.0,1170.0,316851.0,363312.0,43625.0
DVL,2.2932038834951456,-1.4280230326295584,14.201535508637235,6.1242718446601945,1530.0,7.0,717.0,1959.0,46.0
EAU,6.044733044733045,6.693965517241379,21.988505747126435,12.881673881673882,1685.0,0.0,2486.0,4608.0,434.0
ECP,0.05246776345042241,2.584424228977147,14.959618371422232,7.970875944864384,10798.0,0.0,7472.0,15895.0,3289.0
EGE,12.283582089552239,10.036333608587944,18.265895953757227,12.075456053067994,5769.0,19.0,4484.0,11860.0,2349.0
EKO,-3.3192239858906527,1.244718309859155,15.952464788732394,5.074074074074074,1193.0,0.0,629.0,1093.0,46.0
ELM,5.448040109389243,7.13126709206928,18.415679124886054,7.924339106654513,9856.0,0.0,6362.0,7490.0,580.0
ELP,4.574996098017793,6.806195516811955,14.52148194271482,7.86943967535508,35649.0,104.0,19458.0,61692.0,5347.0
ERI,7.7356020942408374,5.486274509803922,21.52418300653595,10.75523560209424,2660.0,0.0,3702.0,2655.0,707.0
ESC,2.428099173553719,0.4462809917355372,17.94710743801653,7.595041322314049,2831.0,35.0,448.0,2611.0,621.0
EUG,3.272,4.480803916516361,20.683586704457614,7.926709677419355,9903.0,50.0,13116.0,19402.0,167.0
EVV,6.218581907090464,1.9875549048316252,19.051976573938507,10.884596577017115,16362.0,0.0,18555.0,19967.0,1824.0
EWN,5.403877221324717,7.8476499189627225,18.445705024311184,7.5718901453958,2586.0,0.0,725.0,2622.0,0.0
EWR,3.9441269133186494,7.01162184795757,16.655848143668,7.762390684101449,497973.0,1699.0,290395.0,561862.0,58771.0
EYW,2.1743075453677174,4.8314231136580705,16.66284622731614,9.023877745940784,6336.0,64.0,1856.0,10607.0,1573.0
FAI,0.44011976047904194,2.0,14.533476394849785,6.231822070145423,7429.0,42.0,2875.0,8037.0,500.0
FAR,3.9993413469454966,5.245035286394223,18.105695059904807,10.152313518853944,16264.0,69.0,22002.0,29503.0,2322.0
FAT,8.423982020095188,6.992599444958372,18.604466763578696,9.040983606557377,41508.0,7.0,24037.0,31072.0,2791.0
FAY,5.816941444002274,4.819988642816582,18.04145371947757,8.71915861284821,8064.0,0.0,1850.0,9992.0,613.0
FCA,-2.691183404054691,0.8768867924528302,19.516509433962263,7.6892975011786895,4246.0,0.0,2897.0,6044.0,229.0
FLG,6.2353610005685045,5.406818181818182,20.110227272727272,7.238772029562251,4001.0,43.0,3262.0,8960.0,1403.0
FLL,3.431018163213098,5.252053007239889,16.82804625342168,7.928152980301867,276847.0,2040.0,257392.0,325517.0,24525.0
FNT,-2.1843519808879157,3.82479569463823,16.970500298983456,9.072267569181763,7452.0,17.0,11785.0,15858.0,3428.0
FSD,8.555893400107315,8.337250712250713,19.39512108262108,10.712752638168485,22023.0,17.0,22967.0,30406.0,4159.0
FSM,5.7351949927780455,9.547641963426372,17.978825794032723,11.619643716899374,9196.0,23.0,3929.0,12258.0,789.0
FWA,6.390344580043073,4.741987466427932,19.396956132497763,9.831299353912419,28313.0,154.0,15987.0,23664.0,4747.0
GCC,-4.482629107981221,-3.009354536950421,17.715622076707202,6.80093896713615,1060.0,15.0,1240.0,3573.0,581.0
GCK,4.515850144092219,4.2086330935251794,15.01726618705036,11.527377521613833,3984.0,0.0,2100.0,1946.0,939.0
GEG,2.7044455300439667,3.1178020691001365,15.480284989264103,6.86047874938935,34861.0,18.0,13341.0,36343.0,2762.0
GFK,4.24875,2.3083645443196006,18.953807740324596,5.43,1483.0,0.0,1743.0,3595.0,371.0
GGG,8.87779433681073,3.6419019316493313,19.065378900445765,14.441132637853949,2618.0,12.0,1626.0,3996.0,301.0
GJT,1.5321344339622642,1.8013517484572437,19.594475462826917,10.58313679245283,10082.0,9.0,6158.0,11008.0,1650.0
